Location,Industry, Fuels consumed,Fuels produced,Energy consumption       ,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
nsw,Agriculture,,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    Crude Oil and Other Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    LPG                    ,,,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.2
nsw,Agriculture,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    Auto gasoline-unleaded ,,,1.5,1.5,1.5,1.5,1.5,1.4,1.4,1.4,1.4,1.5,1.6,1.7,1.7,1.6,1.7,1.9,1.8,1.5,1.1
nsw,Agriculture,    Aviation gasoline      ,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
nsw,Agriculture,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    Kerosene and Heating oil  ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
nsw,Agriculture,    Diesel                    ,,,24.7,25.4,24.8,24.5,24.5,24.7,24.2,24,24.3,24.3,24.5,24.6,24.4,23.1,25.3,27.5,26.9,27.3,21.3
nsw,Agriculture,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    Natural gas            ,,,,,,,,,,,,,,0.3,0.2,0.4,0.3,0.3,0.4,0.3,0.4
nsw,Agriculture,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,    Electricity            ,,,2.6,2.3,4,3.6,3.1,3.2,3.2,3.1,2.2,2.4,2.3,2.4,2.4,2.2,2.3,2.1,2,2,2.2
nsw,Agriculture,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
nsw,Agriculture,,,Energy consumption,29,29.6,30.7,29.8,29.4,29.6,29.2,28.9,28.4,28.6,28.9,29.4,29.2,27.8,30.1,32.3,31.3,31.4,25.2
nsw,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    LPG                    ,,,,,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2
nsw,Mining                                    ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Diesel                    ,,,10.7,11.7,14.1,19,22,20.3,19.7,20.5,21.6,26.4,30.8,36.1,40.1,40,39.3,45,47,48.5,51.9
nsw,Mining                                    ,    Fuel oil               ,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.1
nsw,Mining                                    ,    Petroleum products nec ,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.6,0.5,0.4,0.1,0.1,0.1,0,0,0
nsw,Mining                                    ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Natural gas            ,,,1.2,1.3,1.8,0.9,1.2,1.5,1.7,0.9,0,0,0,0,0,0.3,0,0,0,0.2,0.2
nsw,Mining                                    ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,    Electricity            ,,,11.3,11.5,11,12.8,12.5,12.5,13.4,13.5,13.5,13.9,13.9,14.9,16.2,16.6,16.5,16.4,16.4,16.1,17.2
nsw,Mining                                    ,    Liquid/gas Biofuels               ,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.9,1.2,1.7,2.4,2.6,0.1,0.1,0,0
nsw,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
nsw,Mining                                    ,,,Energy consumption,23.3,24.6,27.2,33,36,34.8,35.2,35.3,35.5,41.7,46.3,52.8,58.6,59.6,58.6,61.7,63.7,65.3,69.9
nsw,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    LPG                    ,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nsw,Coal_mining ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Diesel                    ,,,0,0,12.2,16.8,19.3,17.8,17.2,18,19.5,22.8,27.1,32.4,36.5,36.9,36.5,42,43.8,44.4,47.7
nsw,Coal_mining ,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Petroleum products nec ,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.4,0.4,0.3,0.1,0.1,0.1,0,0,0
nsw,Coal_mining ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Natural gas            ,,,,,,,,,,,,,,,,,,,,,
nsw,Coal_mining ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
