Location,Industry, Fuels consumed,Fuels produced,Energy consumption       ,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
nt,Agriculture,,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Crude Oil and Other Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    LPG                    ,,,,,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nt,Agriculture,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Auto gasoline-unleaded ,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1
nt,Agriculture,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,0,0,0,
nt,Agriculture,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Diesel                    ,,,1.1,1.2,1,1.1,1.1,0.9,0.9,0.9,1,1,1,1,1,0.9,1,1,1.5,1.5,1.6
nt,Agriculture,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Natural gas            ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,    Electricity            ,,,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
nt,Agriculture,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
nt,Agriculture,,,Energy consumption,1.4,1.5,1.3,1.4,1.4,1.1,1.1,1.1,1.3,1.3,1.3,1.3,1.3,1.2,1.2,1.3,1.7,1.7,1.8
nt,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Crude Oil and Other Refinery Feedstock,,,,,0,0,,,,,0,0,0,0,0.4,0.5,0.7,0.7,0.2,,
nt,Mining                                    ,    LPG                    ,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.2
nt,Mining                                    ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Auto gasoline-unleaded ,,,,,,,,,,,0,0,0,0,0,,0,0,,0,0
nt,Mining                                    ,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Diesel                    ,,,2,1.8,0.9,2.2,4.2,8.8,4.2,3.7,2.9,2.5,2.9,3.2,4,4.1,3.4,2.3,2.8,5.6,6.3
nt,Mining                                    ,    Fuel oil               ,,,,,,,,,,,0,0,,,,,,,,,
nt,Mining                                    ,    Petroleum products nec ,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nt,Mining                                    ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Natural gas            ,,,0.2,0.2,0.2,0.7,0.7,6.5,19.8,18.5,20.9,16.3,19.1,16.7,19.9,19.7,18.5,21.3,19.5,17.9,44.8
nt,Mining                                    ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,    Electricity            ,,,1.4,2,0.5,0.5,0.8,1.1,2.5,2.3,1.2,1.2,1.3,1.5,1.6,1.8,2.4,2.5,2.4,4.5,7.8
nt,Mining                                    ,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,    Thermal electricity    ,,0.5,0.5,,,,,,,,,,,,,,,,,
nt,Mining                                    ,,,Energy consumption,3,3.4,1.5,3.4,5.8,16.5,26.5,24.5,25.1,20,23.4,21.5,26,26.1,25,26.9,24.9,28,59.1
nt,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    LPG                    ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Diesel                    ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Natural gas            ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Electricity            ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
nt,Coal_mining ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
