Location,Industry, Fuels consumed,Fuels produced,Energy consumption       ,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
qld,Agriculture,,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    Crude Oil and Other Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    LPG                    ,,,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.5
qld,Agriculture,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    Auto gasoline-unleaded ,,,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,1.1,1.2,1.7,1.7,1.8,1.8,2,2.2,2.4,2.4,2.1
qld,Agriculture,    Aviation gasoline      ,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,
qld,Agriculture,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    Kerosene and Heating oil  ,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
qld,Agriculture,    Diesel                    ,,,13,13.3,16.5,16.5,18.2,19.2,19.3,19.3,19.3,19.4,19.2,19.6,21,21.1,21.2,22.6,25,25.4,21.9
qld,Agriculture,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    Natural gas            ,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1
qld,Agriculture,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,    Electricity            ,,,1.3,1.2,1.5,1.6,1.5,1.6,1.7,1.6,1.6,1.5,1.5,1.5,1.4,1.6,1.4,1.3,1.1,1.4,1.5
qld,Agriculture,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
qld,Agriculture,,,Energy consumption,15.4,15.8,19.1,19.3,20.9,22.1,22.2,22.2,22.5,22.6,22.9,23.3,24.8,25,25.2,26.6,29.2,29.9,26.1
qld,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Coke                   ,,,,,,,,,,,,,,,,,1,1.5,1.2,0.9,1
qld,Mining                                    ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Crude Oil and Other Refinery Feedstock,,,,,0.2,0.2,0.7,0.8,0.8,0.8,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.4,0.4,0.3
qld,Mining                                    ,    LPG                    ,,,,,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.4,0.1,0.1,0.1,0.1
qld,Mining                                    ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Auto gasoline-unleaded ,,,1.7,1.7,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
qld,Mining                                    ,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Diesel                    ,,,22.1,24,37.5,39.5,47.6,41.7,41,42.2,45.6,47.4,52.4,63.7,72.8,74.6,67.6,65.7,72.4,82.1,88.1
qld,Mining                                    ,    Fuel oil               ,,,,,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.1,,,0
qld,Mining                                    ,    Petroleum products nec ,,,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.7,1,1,1,1,0,0,0,0,0,0.4
qld,Mining                                    ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Natural gas            ,,,10,10.5,8.5,9.1,9.7,10.5,11.2,14.1,11.8,16.7,15.1,15.4,19.3,21,29.8,65.3,102.3,110.8,114.4
qld,Mining                                    ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
qld,Mining                                    ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
