Location,Industry, Fuels consumed,Fuels produced,Energy consumption       ,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
sa,Agriculture,,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    Crude Oil and Other Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    LPG                    ,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1
sa,Agriculture,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    Auto gasoline-unleaded ,,,0.3,0.3,0.3,0.5,0.4,0.7,0.8,0.9,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7
sa,Agriculture,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    Kerosene and Heating oil  ,,,0,0,,,,,,,,,,,,,,,,,
sa,Agriculture,    Diesel                    ,,,6.4,5.5,8.1,7,7.7,7.5,7.3,7.7,6.6,5.9,5.3,5.3,5.3,5,5.2,5.3,6.1,6.2,5.6
sa,Agriculture,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    Natural gas            ,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
sa,Agriculture,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
sa,Agriculture,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
