Location,Industry, Fuels consumed,Fuels produced,Energy consumption       ,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
tas,Agriculture,,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Crude Oil and Other Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    LPG                    ,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tas,Agriculture,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Auto gasoline-unleaded ,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
tas,Agriculture,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Diesel                    ,,,2,2,2.8,2.9,3,3,3,3,3,3,2.6,2.6,2.9,3.1,3.7,3.7,3.6,3.6,3.8
tas,Agriculture,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Natural gas            ,,,,,,,,,,,,,,,0,0,0,0,0,0,0
tas,Agriculture,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,    Electricity            ,,,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.3,0.3,0.4,0.4,0.5,0.4,0.2,0.3,0.4
tas,Agriculture,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
tas,Agriculture,,,Energy consumption,2.6,2.7,3.6,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3,3,3.5,3.8,4.4,4.2,4,4,4.3
tas,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Crude Oil and Other Refinery Feedstock,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    LPG                    ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Diesel                    ,,,0.9,0.9,1,0.9,0.9,1,1.2,1.9,1.4,1.4,1.4,1.6,1.6,1.6,1.4,1.1,1.3,1.6,1.7
tas,Mining                                    ,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Natural gas            ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Electricity            ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
tas,Mining                                    ,,,Energy consumption,5.7,4.7,1.8,2.3,2.4,2.5,2.7,3.6,3.1,3,3.2,3.6,3.4,3.3,2.9,2.6,2.6,3.2,3.3
tas,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
tas,Coal_mining ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
