Location,Industry, Fuels consumed,Fuels produced,Energy consumption       ,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
vic,Agriculture,,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Crude Oil and Other Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    LPG                    ,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
vic,Agriculture,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Auto gasoline-unleaded ,,,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.5,0.8,0.8,0.8,0.8,0.8,0.8,1.2,1.1,0.9
vic,Agriculture,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Kerosene and Heating oil  ,,,0,0,,,,,,,,,,,,,,,,,
vic,Agriculture,    Diesel                    ,,,13.7,14.1,15.5,16,17,14.6,12.4,12.7,11.1,12.5,12.6,12.6,12.2,12.7,12.9,13,15.2,15.3,13.3
vic,Agriculture,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Natural gas            ,,,,,0,0,0,0,0,0,0,0,0,0.1,0.5,0.8,0.8,0.8,0.6,0.7,0.8
vic,Agriculture,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,    Electricity            ,,,2.1,1.9,2.3,2.3,2,2,2.1,2,2.3,2.4,1.9,2,1.8,2.3,2.1,2.3,2.2,2.3,2
vic,Agriculture,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,,,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
vic,Agriculture,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
