Location,Industry, Fuels consumed,Fuels produced,Energy consumption       ,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19
wa,Agriculture,,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    Crude Oil and Other Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    LPG                    ,,,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.9,0.8
wa,Agriculture,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    Auto gasoline-unleaded ,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,1,1,1.1,1.1,1.1,1.2,1.2,1.4,1.2,1.1
wa,Agriculture,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,0,0,0,
wa,Agriculture,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    Kerosene and Heating oil  ,,,0,0,,,,,,,,,,,,,,,,,
wa,Agriculture,    Diesel                    ,,,11.2,11.5,13.4,14.1,15.4,11.7,11.3,11.7,13.6,14.6,14.8,15.4,15.3,15.2,16.8,18.1,19.8,20.1,18.3
wa,Agriculture,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    Natural gas            ,,,,,,,,,,,,,,0,0,0.1,0.1,0.1,0,0,0
wa,Agriculture,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,    Electricity            ,,,0.7,0.7,0.8,0.9,0.8,0.8,0.9,0.9,0.6,0.6,1.1,1.2,1,0.9,0.9,0.8,0.7,0.9,1.1
wa,Agriculture,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Coke                   ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Brown coal briquettes  ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Refinery feedstock     ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    LPG                    ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Auto gasoline-unleaded ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Kerosene and Heating oil                    ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Diesel                    ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Fuel oil               ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Petroleum products nec ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Solvents               ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Bitumen                ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Town gas               ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,    Thermal electricity    ,,,,,,,,,,,,,,,,,,,,
wa,Agriculture,,,Energy consumption  ,12.9,13.2,15.2,16,17.2,13.7,13.4,13.8,15.6,16.8,17.6,18.4,18.1,17.9,19.7,21,22.8,23.2,21.3
wa,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Black coal             ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Brown coal             ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Coke                   ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Coal byproducts        ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Brown coal briquettes,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,"    Wood, woodwaste        ",,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Bagasse                ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Crude Oil and Other Refinery Feedstock,,,,,,,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.2,0.3,0.1,0.4,0.5,0.4,
wa,Mining                                    ,    LPG                    ,,,0.4,0.5,0.2,0.2,0.3,0.3,0.2,0.3,0.4,0.4,0.5,0.7,0.5,0.5,0.4,0.5,0.5,0.5,0.5
wa,Mining                                    ,    Auto gasoline-leaded   ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Auto gasoline-unleaded ,,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
wa,Mining                                    ,    Aviation gasoline      ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Aviation turbine fuel  ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Kerosene and Heating oil  ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Diesel                    ,,,29.7,32.7,35.8,32.8,33.7,30.6,32.4,36.8,41.4,39.5,46.9,62,79.8,82.2,80.6,81.4,85.3,90.2,95.1
wa,Mining                                    ,    Fuel oil               ,,,,,0,0,0,0,0,0,0.3,0,0,0,,0.4,0.5,0.4,0.5,0.4,0.3
wa,Mining                                    ,    Petroleum products nec ,,,,,1.4,1.4,1.4,1.3,1.3,1.3,1.5,2.3,2.8,4.1,3.6,4.5,1.7,1.6,1.9,3.2,2.8
wa,Mining                                    ,    Solvents               ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Lubricants and greases   ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Bitumen                ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Natural gas            ,,,67.4,69.7,48.4,48.4,61,69.6,82.7,84.1,88.7,88.8,94.5,97.4,104.3,105.8,106.1,112,150.8,180.4,207.8
wa,Mining                                    ,    Town gas               ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Solar energy           ,,,,,,,,,,,,,,,,,,,,,
wa,Mining                                    ,    Electricity            ,,,15.3,15.7,17.2,17.1,17.2,27,26,25.2,28.2,31.9,38.6,37.8,42.4,52.4,48.7,50.6,56,59.8,63.8
wa,Mining                                    ,    Liquid/gas Biofuels               ,,,,,,,,,,,,,,,,,,,,,
