Date,location,Population,GSP,Energy consumption,Energy consumption per capita,Energy intensity,Energy productivity 
2000-01,nsw,"6,851,887.00","411,286.00","1,450.50",211.7,"3,526.70",283.5
2001-02,nsw,"6,905,434.00","419,311.00","1,445.70",209.4,"3,447.80",290
2002-03,nsw,"6,948,072.00","428,112.00","1,510.50",217.4,"3,528.20",283.4
2003-04,nsw,"6,979,675.00","442,714.00","1,574.80",225.6,"3,557.10",281.1
2004-05,nsw,"7,024,605.00","450,746.00","1,544.90",219.9,"3,427.50",291.8
2005-06,nsw,"7,077,860.00","457,016.00","1,546.00",218.4,"3,382.80",295.6
2006-07,nsw,"7,176,800.00","465,480.00","1,568.90",218.6,"3,370.50",296.7
2007-08,nsw,"7,291,829.00","477,101.00","1,610.70",220.9,"3,376.00",296.2
2008-09,nsw,"7,408,540.00","482,539.00","1,592.20",214.9,"3,299.70",303.1
2009-10,nsw,"7,506,058.00","492,315.00","1,643.20",218.9,"3,337.70",299.6
2010-11,nsw,"7,586,514.00","504,340.00","1,665.70",219.6,"3,302.80",302.8
2011-12,nsw,"7,680,783.00","516,038.00","1,619.60",210.9,"3,138.50",318.6
2012-13,nsw,"7,787,289.00","525,816.00","1,566.20",201.1,"2,978.70",335.7
2013-14,nsw,"7,897,152.00","535,464.00","1,514.20",191.7,"2,827.80",353.6
2014-15,nsw,"8,011,981.00","549,534.00","1,467.60",183.2,"2,670.50",374.5
2015-16,nsw,"8,135,962.00","570,349.00","1,514.70",186.2,"2,655.70",376.6
2016-17,nsw,"8,279,961.00","588,454.00","1,525.30",184.2,"2,592.10",385.8
2017-18,nsw,"8,400,547.00","603,143.00","1,545.10",183.9,"2,561.70",390.4
2018-19,nsw,"8,511,621.00","614,409.00","1,540.60",181,"2,507.40",398.8
