Date,location,Population,GSP,Energy consumption,Energy consumption per capita,Energy intensity,Energy productivity 
2000-01,qld,"3,571,469.00","192,765.00","1,020.00",285.6,"5,291.40",189
2001-02,qld,"3,653,123.00","205,841.00","1,057.80",289.6,"5,138.90",194.6
2002-03,qld,"3,743,121.00","212,503.00","1,064.00",284.3,"5,007.20",199.7
2003-04,qld,"3,829,970.00","225,939.00","1,081.10",282.3,"4,784.90",209
2004-05,qld,"3,918,494.00","238,219.00","1,225.10",312.6,"5,142.70",194.5
2005-06,qld,"4,007,992.00","250,498.00","1,279.50",319.2,"5,107.90",195.8
2006-07,qld,"4,111,018.00","267,333.00","1,329.00",323.3,"4,971.30",201.2
2007-08,qld,"4,219,505.00","279,738.00","1,289.50",305.6,"4,609.80",216.9
2008-09,qld,"4,328,771.00","283,635.00","1,346.70",311.1,"4,748.10",210.6
2009-10,qld,"4,404,744.00","287,659.00","1,295.80",294.2,"4,504.60",222
2010-11,qld,"4,476,778.00","289,605.00","1,251.30",279.5,"4,320.80",231.4
2011-12,qld,"4,568,687.00","305,645.00","1,316.40",288.1,"4,307.10",232.2
2012-13,qld,"4,652,824.00","314,029.00","1,336.50",287.3,"4,256.10",235
2013-14,qld,"4,719,653.00","320,742.00","1,337.90",283.5,"4,171.30",239.7
2014-15,qld,"4,777,692.00","323,849.00","1,432.00",299.7,"4,421.70",226.2
2015-16,qld,"4,845,152.00","331,726.00","1,460.20",301.4,"4,401.70",227.2
2016-17,qld,"4,927,629.00","339,652.00","1,529.60",310.4,"4,503.40",222.1
2017-18,qld,"5,009,424.00","352,248.00","1,552.50",309.9,"4,407.50",226.9
2018-19,qld,"5,092,526.00","357,044.00","1,525.30",299.5,"4,272.00",234.1
