Date,location,Population,GSP,Energy consumption,Energy consumption per capita,Energy intensity,Energy productivity 
2000-01,sa,"1,503,461.00","77,122.00",329.3,219,"4,269.90",234.2
2001-02,sa,"1,511,567.00","79,882.00",328.1,217.1,"4,107.30",243.5
2002-03,sa,"1,520,399.00","81,310.00",357.3,235,"4,394.30",227.6
2003-04,sa,"1,528,189.00","83,202.00",371.5,243.1,"4,465.50",223.9
2004-05,sa,"1,538,804.00","84,430.00",355.6,231.1,"4,211.20",237.5
2005-06,sa,"1,552,529.00","86,297.00",350.1,225.5,"4,057.10",246.5
2006-07,sa,"1,570,619.00","88,355.00",375.5,239.1,"4,249.50",235.3
2007-08,sa,"1,588,665.00","92,502.00",372.5,234.5,"4,027.30",248.3
2008-09,sa,"1,608,902.00","95,215.00",357.1,221.9,"3,750.00",266.7
2009-10,sa,"1,627,322.00","97,099.00",343.5,211.1,"3,537.70",282.7
2010-11,sa,"1,639,614.00","98,612.00",342.6,208.9,"3,474.20",287.8
2011-12,sa,"1,656,725.00","99,569.00",307.5,185.6,"3,087.90",323.8
2012-13,sa,"1,671,488.00","100,633.00",356.2,213.1,"3,539.80",282.5
2013-14,sa,"1,686,945.00","101,438.00",343.5,203.6,"3,386.30",295.3
2014-15,sa,"1,700,668.00","102,333.00",363.4,213.7,"3,551.60",281.6
2015-16,sa,"1,712,843.00","102,602.00",323.5,188.8,"3,152.60",317.2
2016-17,sa,"1,723,923.00","104,125.00",295.1,171.2,"2,834.30",352.8
2017-18,sa,"1,736,527.00","106,477.00",335.5,193.2,"3,150.90",317.4
2018-19,sa,"1,752,326.00","107,990.00",322.6,184.1,"2,987.70",334.7
