Date,location,Population,GSP,Energy consumption,Energy consumption per capita,Energy intensity,Energy productivity 
2000-01,tas,473668.00,21192.00,93.60,197.60,4416.80,226.40
2001-02,tas,474152.00,22129.00,97.20,205.00,4392.40,227.70
2002-03,tas,478534.00,22766.00,99.50,207.90,4370.60,228.80
2003-04,tas,483178.00,23912.00,103.40,214.00,4324.20,231.30
2004-05,tas,486202.00,24390.00,107.40,220.90,4403.20,227.10
2005-06,tas,489302.00,25176.00,111.60,228.00,4431.70,225.60
2006-07,tas,493262.00,25947.00,113.30,229.70,4367.50,229.00
2007-08,tas,498568.00,26839.00,115.50,231.70,4303.70,232.40
2008-09,tas,504353.00,27375.00,114.90,227.90,4198.70,238.20
2009-10,tas,508847.00,27605.00,114.90,225.80,4161.30,240.30
2010-11,tas,511483.00,28130.00,114.90,224.70,4086.30,244.70
2011-12,tas,511724.00,28333.00,108.10,211.30,3816.40,262.00
2012-13,tas,512231.00,28259.00,113.50,221.60,4016.20,249.00
2013-14,tas,513621.00,28552.00,108.70,211.60,3807.00,262.70
2014-15,tas,515117.00,28865.00,105.40,204.60,3650.40,273.90
2015-16,tas,517514.00,29364.00,107.50,207.70,3659.90,273.20
2016-17,tas,522410.00,29685.00,107.90,206.60,3635.10,275.10
2017-18,tas,528298.00,30710.00,110.90,210.00,3611.90,276.90
2018-19,tas,534599.00,31819.00,108.80,203.60,3420.30,292.40
