Date,location,Population,GSP,Energy consumption,Energy consumption per capita,Energy intensity,Energy productivity 
2000-01,wa,1906274.00,122969.00,708.10,371.50,5758.40,173.70
2001-02,wa,1928512.00,131200.00,722.90,374.80,5509.90,181.50
2002-03,wa,1952741.00,138059.00,720.00,368.70,5214.90,191.80
2003-04,wa,1979542.00,146469.00,730.30,368.90,4986.30,200.60
2004-05,wa,2011207.00,151620.00,748.20,372.00,4934.70,202.60
2005-06,wa,2050581.00,158729.00,757.10,369.20,4769.60,209.70
2006-07,wa,2106139.00,168938.00,820.70,389.70,4857.80,205.90
2007-08,wa,2171700.00,177371.00,828.00,381.30,4668.00,214.20
2008-09,wa,2240250.00,183919.00,918.80,410.10,4995.70,200.20
2009-10,wa,2290845.00,192854.00,907.50,396.10,4705.40,212.50
2010-11,wa,2353409.00,201434.00,981.80,417.20,4874.00,205.20
2011-12,wa,2425507.00,220648.00,983.60,405.50,4458.00,224.30
2012-13,wa,2486944.00,233689.00,1020.30,410.30,4366.00,229.00
2013-14,wa,2517608.00,247281.00,1067.30,423.90,4316.20,231.70
2014-15,wa,2540672.00,253346.00,1041.80,410.10,4112.40,243.20
2015-16,wa,2555978.00,256383.00,1120.70,438.50,4371.30,228.80
2016-17,wa,2574193.00,251941.00,1172.90,455.60,4655.30,214.80
2017-18,wa,2594181.00,258120.00,1206.60,465.10,4674.70,213.90
2018-19,wa,2621836.00,260640.00,1261.00,480.90,4838.00,206.70
