,location,industry,fuels_consumed,date,value
1354,aus,Construction,LPG,2000-01,0.2
1366,aus,Construction,Naturalgas,2000-01,2.1
1361,aus,Construction,Fueloil,2000-01,0.1
1360,aus,Construction,Diesel,2000-01,25.3
1369,aus,Construction,Electricity,2000-01,0.3
1465,aus,Transport_postal,Electricity,2000-01,8.5
1462,aus,Transport_postal,Naturalgas,2000-01,13.6
1457,aus,Transport_postal,Fueloil,2000-01,39
1456,aus,Transport_postal,Diesel,2000-01,313.8
1450,aus,Transport_postal,LPG,2000-01,57.3
1414,aus,Commercial_services,Naturalgas,2000-01,42.7
1409,aus,Commercial_services,Fueloil,2000-01,0.3
1408,aus,Commercial_services,Diesel,2000-01,14.3
1402,aus,Commercial_services,LPG,2000-01,4.3
1394,aus,Commercial_services,Blackcoal,2000-01,1.3
1416,aus,Commercial_services,Solarenergy,2000-01,0.2
1417,aus,Commercial_services,Electricity,2000-01,148.6
1442,aus,Transport_postal,Blackcoal,2000-01,4.9
1162,aus,Electricity_gas_water_serv,LPG,2000-01,1
1155,aus,Electricity_gas_water_serv,Browncoal,2000-01,657.8
1154,aus,Electricity_gas_water_serv,Blackcoal,2000-01,1176.1
1177,aus,Electricity_gas_water_serv,Electricity,2000-01,110.3
1174,aus,Electricity_gas_water_serv,Naturalgas,2000-01,257.6
1169,aus,Electricity_gas_water_serv,Fueloil,2000-01,3.4
1168,aus,Electricity_gas_water_serv,Diesel,2000-01,11.1
1922,aus,Residential,Blackcoal,2000-01,0.1
1945,aus,Residential,Electricity,2000-01,178.5
1944,aus,Residential,Solarenergy,2000-01,2.4
1942,aus,Residential,Naturalgas,2000-01,121.6
1936,aus,Residential,Diesel,2000-01,1.5
1930,aus,Residential,LPG,2000-01,10.8
266,aus,Manufacturing,Liquid/gasBiofuels,2000-01,1.6
265,aus,Manufacturing,Electricity,2000-01,265.6
262,aus,Manufacturing,Naturalgas,2000-01,397.8
257,aus,Manufacturing,Fueloil,2000-01,35.4
256,aus,Manufacturing,Diesel,2000-01,12.9
250,aus,Manufacturing,LPG,2000-01,17.5
73,aus,Mining,Electricity,2000-01,56.8
70,aus,Mining,Naturalgas,2000-01,126.1
65,aus,Mining,Fueloil,2000-01,1.8
64,aus,Mining,Diesel,2000-01,68.7
25,aus,Agriculture,Electricity,2000-01,7.8
22,aus,Agriculture,Naturalgas,2000-01,0.1
16,aus,Agriculture,Diesel,2000-01,72.1
10,aus,Agriculture,LPG,2000-01,1.2
58,aus,Mining,LPG,2000-01,0.7
51,aus,Mining,Browncoal,2000-01,8.1
50,aus,Mining,Blackcoal,2000-01,6.7
242,aus,Manufacturing,Blackcoal,2000-01,231
3370,aus,Construction,LPG,2001-02,0.2
3385,aus,Construction,Electricity,2001-02,0.3
3382,aus,Construction,Naturalgas,2001-02,2.4
3377,aus,Construction,Fueloil,2001-02,0.3
3376,aus,Construction,Diesel,2001-02,24.3
3481,aus,Transport_postal,Electricity,2001-02,8.3
3478,aus,Transport_postal,Naturalgas,2001-02,15.5
3473,aus,Transport_postal,Fueloil,2001-02,40
3472,aus,Transport_postal,Diesel,2001-02,330.8
3430,aus,Commercial_services,Naturalgas,2001-02,43.2
3425,aus,Commercial_services,Fueloil,2001-02,0.1
3424,aus,Commercial_services,Diesel,2001-02,16.5
3418,aus,Commercial_services,LPG,2001-02,3.3
3410,aus,Commercial_services,Blackcoal,2001-02,1.2
3432,aus,Commercial_services,Solarenergy,2001-02,0.2
3433,aus,Commercial_services,Electricity,2001-02,154.5
3458,aus,Transport_postal,Blackcoal,2001-02,5
3466,aus,Transport_postal,LPG,2001-02,56.5
3178,aus,Electricity_gas_water_serv,LPG,2001-02,1.1
3171,aus,Electricity_gas_water_serv,Browncoal,2001-02,661.6
3170,aus,Electricity_gas_water_serv,Blackcoal,2001-02,1213.7
3193,aus,Electricity_gas_water_serv,Electricity,2001-02,111.4
3190,aus,Electricity_gas_water_serv,Naturalgas,2001-02,264.7
3185,aus,Electricity_gas_water_serv,Fueloil,2001-02,3.3
3184,aus,Electricity_gas_water_serv,Diesel,2001-02,11.4
3938,aus,Residential,Blackcoal,2001-02,0.1
3961,aus,Residential,Electricity,2001-02,180.2
3960,aus,Residential,Solarenergy,2001-02,2.6
3958,aus,Residential,Naturalgas,2001-02,124.9
3952,aus,Residential,Diesel,2001-02,1.5
3946,aus,Residential,LPG,2001-02,11
2282,aus,Manufacturing,Liquid/gasBiofuels,2001-02,2.1
2281,aus,Manufacturing,Electricity,2001-02,267.4
2278,aus,Manufacturing,Naturalgas,2001-02,397.5
2273,aus,Manufacturing,Fueloil,2001-02,35.4
2272,aus,Manufacturing,Diesel,2001-02,13.1
2266,aus,Manufacturing,LPG,2001-02,17.7
2089,aus,Mining,Electricity,2001-02,56.9
2086,aus,Mining,Naturalgas,2001-02,128.3
2081,aus,Mining,Fueloil,2001-02,1.6
2080,aus,Mining,Diesel,2001-02,74.5
2074,aus,Mining,LPG,2001-02,0.8
2041,aus,Agriculture,Electricity,2001-02,7.3
2038,aus,Agriculture,Naturalgas,2001-02,0.1
2032,aus,Agriculture,Diesel,2001-02,73
2026,aus,Agriculture,LPG,2001-02,1.3
2067,aus,Mining,Browncoal,2001-02,11.8
2066,aus,Mining,Blackcoal,2001-02,6.7
2258,aus,Manufacturing,Blackcoal,2001-02,232
5386,aus,Construction,LPG,2002-03,0.2
5401,aus,Construction,Electricity,2002-03,0.3
5398,aus,Construction,Naturalgas,2002-03,2.5
5393,aus,Construction,Fueloil,2002-03,0.3
5392,aus,Construction,Diesel,2002-03,23.5
5497,aus,Transport_postal,Electricity,2002-03,12.3
5494,aus,Transport_postal,Naturalgas,2002-03,16.6
5489,aus,Transport_postal,Fueloil,2002-03,38.5
5488,aus,Transport_postal,Diesel,2002-03,345.5
5482,aus,Transport_postal,LPG,2002-03,66.3
5446,aus,Commercial_services,Naturalgas,2002-03,43.5
5441,aus,Commercial_services,Fueloil,2002-03,0.1
5440,aus,Commercial_services,Diesel,2002-03,15.6
5434,aus,Commercial_services,LPG,2002-03,3.2
5426,aus,Commercial_services,Blackcoal,2002-03,1.3
5448,aus,Commercial_services,Solarenergy,2002-03,0.2
5449,aus,Commercial_services,Electricity,2002-03,183.1
5474,aus,Transport_postal,Blackcoal,2002-03,5
5194,aus,Electricity_gas_water_serv,LPG,2002-03,0.9
5187,aus,Electricity_gas_water_serv,Browncoal,2002-03,685.9
5186,aus,Electricity_gas_water_serv,Blackcoal,2002-03,1176.2
5210,aus,Electricity_gas_water_serv,Liquid/gasBiofuels,2002-03,8.4
5209,aus,Electricity_gas_water_serv,Electricity,2002-03,111.2
5206,aus,Electricity_gas_water_serv,Naturalgas,2002-03,240.9
5201,aus,Electricity_gas_water_serv,Fueloil,2002-03,5.7
5200,aus,Electricity_gas_water_serv,Diesel,2002-03,20.7
5954,aus,Residential,Blackcoal,2002-03,0.1
5977,aus,Residential,Electricity,2002-03,194
5976,aus,Residential,Solarenergy,2002-03,2.6
5974,aus,Residential,Naturalgas,2002-03,124.9
5968,aus,Residential,Diesel,2002-03,1.6
5962,aus,Residential,LPG,2002-03,11.4
4298,aus,Manufacturing,Liquid/gasBiofuels,2002-03,2.6
