,date,location,population,GDP,energy_consumption,GSP
0,2000-01,aus,19274701,1127062,5011.8,
1,2001-02,aus,19495210,1172160,5097,
2,2002-03,aus,19720737,1207160,5138.7,
3,2003-04,aus,19932722,1256117,5284.7,
4,2004-05,aus,20176844,1296365,5399.2,
5,2005-06,aus,20450966,1332593,5546.7,
6,2006-07,aus,20827622,1383822,5724,
7,2007-08,aus,21249199,1434441,5738.3,
8,2008-09,aus,21691653,1462225,5843.8,
9,2009-10,aus,22031750,1492456,5823.3,
10,2010-11,aus,22340024,1529212,5902.2,
11,2011-12,aus,22733465,1589129,5887.8,
12,2012-13,aus,23128129,1630206,5915.3,
13,2013-14,aus,23475686,1671501,5891.4,
14,2014-15,aus,23815995,1708151,5897.3,
15,2015-16,aus,24190907,1755478,6040.8,
16,2016-17,aus,24601860,1797041,6114.6,
17,2017-18,aus,24982688,1849880,6159.1,
18,2018-19,aus,25357553,1884969,6196,
0,2000-01,nsw,6851887,,1450.5,411286
1,2001-02,nsw,6905434,,1445.7,419311
2,2002-03,nsw,6948072,,1510.5,428112
3,2003-04,nsw,6979675,,1574.8,442714
4,2004-05,nsw,7024605,,1544.9,450746
5,2005-06,nsw,7077860,,1546,457016
6,2006-07,nsw,7176800,,1568.9,465480
7,2007-08,nsw,7291829,,1610.7,477101
8,2008-09,nsw,7408540,,1592.2,482539
9,2009-10,nsw,7506058,,1643.2,492315
10,2010-11,nsw,7586514,,1665.7,504340
11,2011-12,nsw,7680783,,1619.6,516038
12,2012-13,nsw,7787289,,1566.2,525816
13,2013-14,nsw,7897152,,1514.2,535464
14,2014-15,nsw,8011981,,1467.6,549534
15,2015-16,nsw,8135962,,1514.7,570349
16,2016-17,nsw,8279961,,1525.3,588454
17,2017-18,nsw,8400547,,1545.1,603143
18,2018-19,nsw,8511621,,1540.6,614409
0,2000-01,qld,3571469,,1020,192765
1,2001-02,qld,3653123,,1057.8,205841
2,2002-03,qld,3743121,,1064,212503
3,2003-04,qld,3829970,,1081.1,225939
4,2004-05,qld,3918494,,1225.1,238219
5,2005-06,qld,4007992,,1279.5,250498
6,2006-07,qld,4111018,,1329,267333
7,2007-08,qld,4219505,,1289.5,279738
8,2008-09,qld,4328771,,1346.7,283635
9,2009-10,qld,4404744,,1295.8,287659
10,2010-11,qld,4476778,,1251.3,289605
11,2011-12,qld,4568687,,1316.4,305645
12,2012-13,qld,4652824,,1336.5,314029
13,2013-14,qld,4719653,,1337.9,320742
14,2014-15,qld,4777692,,1432,323849
15,2015-16,qld,4845152,,1460.2,331726
16,2016-17,qld,4927629,,1529.6,339652
17,2017-18,qld,5009424,,1552.5,352248
18,2018-19,qld,5092526,,1525.3,357044
0,2000-01,sa,1503461,,329.3,77122
1,2001-02,sa,1511567,,328.1,79882
2,2002-03,sa,1520399,,357.3,81310
3,2003-04,sa,1528189,,371.5,83202
4,2004-05,sa,1538804,,355.6,84430
5,2005-06,sa,1552529,,350.1,86297
6,2006-07,sa,1570619,,375.5,88355
7,2007-08,sa,1588665,,372.5,92502
8,2008-09,sa,1608902,,357.1,95215
9,2009-10,sa,1627322,,343.5,97099
10,2010-11,sa,1639614,,342.6,98612
11,2011-12,sa,1656725,,307.5,99569
12,2012-13,sa,1671488,,356.2,100633
13,2013-14,sa,1686945,,343.5,101438
14,2014-15,sa,1700668,,363.4,102333
15,2015-16,sa,1712843,,323.5,102602
16,2016-17,sa,1723923,,295.1,104125
17,2017-18,sa,1736527,,335.5,106477
18,2018-19,sa,1752326,,322.6,107990
0,2000-01,tas,473668,,93.6,21192
1,2001-02,tas,474152,,97.2,22129
2,2002-03,tas,478534,,99.5,22766
3,2003-04,tas,483178,,103.4,23912
4,2004-05,tas,486202,,107.4,24390
5,2005-06,tas,489302,,111.6,25176
6,2006-07,tas,493262,,113.3,25947
7,2007-08,tas,498568,,115.5,26839
8,2008-09,tas,504353,,114.9,27375
9,2009-10,tas,508847,,114.9,27605
10,2010-11,tas,511483,,114.9,28130
11,2011-12,tas,511724,,108.1,28333
12,2012-13,tas,512231,,113.5,28259
13,2013-14,tas,513621,,108.7,28552
14,2014-15,tas,515117,,105.4,28865
15,2015-16,tas,517514,,107.5,29364
16,2016-17,tas,522410,,107.9,29685
17,2017-18,tas,528298,,110.9,30710
18,2018-19,tas,534599,,108.8,31819
0,2000-01,vic,4763615,,1337.2,268713
1,2001-02,vic,4817774,,1371.9,279448
2,2002-03,vic,4873809,,1330.6,289224
3,2003-04,vic,4927149,,1364.9,298886
4,2004-05,vic,4989246,,1356.5,311197
5,2005-06,vic,5061266,,1429.5,317619
6,2006-07,vic,5153522,,1433.9,326877
7,2007-08,vic,5256375,,1426.1,338154
8,2008-09,vic,5371934,,1418.9,344311
